date,o,h,l,c,v,symbol,tRange,ema50,ema25,ema9,ema4,vol5ave,min6,max20,min20,e50streak_under,e50streak_over,decision_number,type2
2021-10-21,154.49,158.28,154.32,158.12,61217.0,NKE,3.96,152.6821,151.8785,153.4515,155.6493,56208.6,153.21,158.12,141.6,0,6,,
2021-10-22,158.22,160.5,158.22,159.39,53230.0,NKE,2.28,152.9453,152.4563,154.6392,157.1456,55790.4,153.87,159.39,141.6,0,7,,
2021-10-25,159.15,160.61,158.59,160.11,38782.0,NKE,2.02,153.2263,153.045,155.7334,158.3314,52016.2,153.87,160.11,141.6,0,8,,
2021-10-26,160.7,161.31,159.04,159.69,47112.0,NKE,2.27,153.4799,153.5562,156.5247,158.8748,49042.2,153.87,160.11,141.6,0,9,,
2021-10-27,159.56,159.96,157.62,158.29,41639.0,NKE,2.34,153.6685,153.9203,156.8778,158.6409,48396.0,154.49,160.11,141.6,0,10,,
2021-10-28,158.93,160.48,158.74,160.35,37620.0,NKE,1.74,153.9306,154.4149,157.5722,159.3245,43676.6,158.12,160.35,143.38,0,11,,
2021-10-29,158.98,163.44,158.92,163.11,67406.0,NKE,4.52,154.2907,155.0838,158.6798,160.8387,46511.8,158.29,163.11,143.46,0,12,,
2021-11-01,163.6,164.58,161.74,162.17,36108.0,NKE,2.84,154.5997,155.6289,159.3778,161.3712,45977.0,158.29,163.11,145.08,0,13,,
2021-11-02,162.59,163.95,161.96,163.63,50380.0,NKE,1.99,154.954,156.2443,160.2282,162.2747,46630.6,158.29,163.63,145.08,0,14,,
2021-11-03,164.77,168.55,164.43,168.19,71767.0,NKE,4.12,155.4731,157.1632,161.8206,164.6408,52656.2,158.29,168.19,146.52,0,15,,
2021-11-04,167.9,171.24,167.7,171.05,54601.0,NKE,3.54,156.0841,158.2314,163.6665,167.2045,56052.4,160.35,171.05,146.52,0,16,,
2021-11-05,171.33,174.62,171.11,173.07,58922.0,NKE,3.51,156.7503,159.3729,165.5472,169.5507,54355.6,162.17,173.07,146.52,0,17,,
2021-11-08,171.94,172.12,166.1,167.55,83011.0,NKE,6.02,157.1739,160.0019,165.9477,168.7504,63736.2,162.17,173.07,149.51,0,18,,enterS4
2021-11-09,166.97,169.58,166.67,169.47,43430.0,NKE,2.91,157.6562,160.7302,166.6522,169.0383,62346.2,163.63,173.07,152.39,0,19,,
2021-11-10,166.95,167.86,163.36,164.05,81852.0,NKE,4.5,157.907,160.9856,166.1318,167.043,64363.2,164.05,173.07,153.21,0,20,,
2021-11-11,165.36,165.36,162.46,162.79,49949.0,NKE,2.9,158.0985,161.1244,165.4634,165.3418,63432.8,162.79,173.07,153.87,0,21,,
2021-11-12,163.31,165.44,163.21,164.86,51263.0,NKE,2.23,158.3637,161.4117,165.3427,165.1491,61901.0,162.79,173.07,153.87,0,22,,
