date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2019-02-25,258.9,259.35,258.125,258.35,FC,1.225,259.9733,259.5031,259.1248,258.8066,258.35,8,0,,
2019-02-26,258.65,259.35,258.05,259.3,FC,1.3,259.9469,259.4874,259.1598,259.0039,258.35,9,0,,
2019-02-27,259.2,259.85,259.2,259.725,FC,0.65,259.9382,259.5057,259.2729,259.2924,258.35,10,0,,
2019-02-28,259.5,259.5,257.6,258.65,FC,1.9,259.8877,259.4399,259.1483,259.0354,258.35,11,0,,
2019-03-01,258.6,259.625,257.2,257.55,FC,2.425,259.796,259.2945,258.8286,258.4413,257.55,12,0,,
2019-03-04,257.75,258.075,256.8,257.525,FC,1.275,259.7069,259.1584,258.5679,258.0748,257.525,13,0,,
2019-03-05,257.525,257.575,256.725,256.9,FC,0.85,259.5969,258.9847,258.2343,257.6049,256.9,14,0,,
2019-03-06,256.9,257.0,256.0,256.15,FC,1.0,259.4617,258.7666,257.8175,257.0229,256.15,15,0,,
2019-03-07,256.25,258.725,256.15,258.5,FC,2.575,259.424,258.7461,257.954,257.6137,256.15,16,0,,
2019-03-08,257.95,260.35,257.925,260.2,FC,2.425,259.4544,258.8579,258.4032,258.6482,256.15,17,0,,
2019-03-11,259.675,259.725,257.7,258.475,FC,2.025,259.416,258.8285,258.4175,258.5789,256.15,0,1,,
2019-03-12,258.25,258.575,256.25,256.9,FC,2.325,259.3173,258.6801,258.114,257.9074,256.15,1,0,,
2019-03-13,256.9,258.075,256.5,256.625,FC,1.575,259.2118,258.5221,257.8162,257.3944,256.15,2,0,,
2019-03-14,256.825,257.9,256.25,257.15,FC,1.65,259.1309,258.4165,257.683,257.2967,256.625,3,0,,
2019-03-15,256.925,260.225,256.8,259.425,FC,3.425,259.1424,258.4941,258.0314,258.148,256.625,4,0,,
2019-03-18,259.125,259.45,258.225,258.8,FC,1.225,259.129,258.5176,258.1851,258.4088,256.625,0,1,,
2019-03-19,258.375,261.875,258.375,261.0,FC,3.5,259.2024,258.7086,258.7481,259.4453,256.625,1,0,,
2019-03-20,260.825,262.85,260.675,262.6,FC,2.175,259.3356,259.0079,259.5185,260.7072,256.625,0,1,,
2019-03-21,262.975,264.925,262.775,264.475,FC,2.15,259.5372,259.4285,260.5098,262.2143,257.15,0,2,,
2019-03-22,264.675,265.775,263.275,264.525,FC,2.5,259.7328,259.8205,261.3128,263.1386,258.8,0,3,,
2019-03-25,263.225,264.275,261.0,261.175,FC,3.275,259.7893,259.9247,261.2853,262.3531,258.8,0,4,,enterS3
2019-03-26,261.175,261.525,259.875,260.275,FC,1.65,259.8084,259.9516,261.0832,261.5219,260.275,0,5,,
2019-03-27,260.575,261.35,259.65,260.0,FC,1.7,259.8159,259.9554,260.8666,260.9131,260.0,0,6,,
2019-03-28,260.025,260.35,259.125,260.15,FC,1.225,259.829,259.9703,260.7233,260.6079,260.0,0,7,,
2019-03-29,260.325,260.625,258.8,259.25,FC,1.825,259.8063,259.9149,260.4286,260.0647,259.25,0,8,,
2019-04-01,259.25,260.925,259.175,259.35,FC,1.75,259.7884,259.8715,260.2129,259.7788,259.25,1,0,,
2019-04-02,259.425,260.025,257.275,258.275,FC,2.75,259.729,259.7487,259.8253,259.1773,258.275,2,0,,
2019-04-03,258.375,258.725,257.075,257.75,FC,1.65,259.6514,259.5949,259.4102,258.6064,257.75,3,0,,
2019-04-04,257.825,261.9,257.8,260.55,FC,4.1,259.6867,259.6684,259.6382,259.3838,257.75,4,0,,enterL2
2019-04-05,260.975,261.225,258.95,260.7,FC,2.275,259.7264,259.7477,259.8506,259.9103,257.75,0,1,,
2019-04-08,260.45,261.425,259.825,261.05,FC,1.6,259.7783,259.8479,260.0904,260.3662,257.75,0,2,,
2019-04-09,261.275,261.575,260.15,260.65,FC,1.425,259.8125,259.9096,260.2024,260.4797,257.75,0,3,,
2019-04-10,260.6,260.725,259.35,259.7,FC,1.375,259.8081,259.8935,260.1019,260.1678,257.75,0,4,,enterS2
2019-04-11,259.8,261.225,259.3,260.325,FC,1.925,259.8284,259.9267,260.1465,260.2307,259.7,1,0,,
2019-04-12,260.2,261.55,259.95,261.375,FC,1.6,259.889,260.0381,260.3922,260.6884,259.7,0,1,,
2019-04-15,261.45,262.0,260.55,261.825,FC,1.45,259.9649,260.1755,260.6788,261.1431,259.7,0,2,,
2019-04-16,261.925,263.2,261.625,262.875,FC,1.575,260.0791,260.3832,261.118,261.8358,259.7,0,3,,
2019-04-17,262.75,263.375,262.3,263.125,FC,1.075,260.1985,260.5941,261.5194,262.3515,259.7,0,4,,
2019-04-18,263.2,264.075,262.5,263.35,FC,1.575,260.3221,260.8061,261.8855,262.7509,260.325,0,5,,
2019-04-22,262.8,263.275,261.375,262.3,FC,1.9,260.3997,260.921,261.9684,262.5705,261.375,0,6,,
2019-04-23,262.45,263.35,261.8,262.375,FC,1.55,260.4771,261.0329,262.0497,262.4923,261.825,0,7,,
2019-04-24,262.3,262.325,258.95,259.4,FC,3.375,260.4349,260.9073,261.5198,261.2554,259.4,0,8,,enterS3
2019-04-25,259.125,259.125,255.4,255.925,FC,3.725,260.258,260.524,260.4008,259.1232,255.925,1,0,,
2019-04-26,255.925,257.65,254.6,255.525,FC,3.05,260.0724,260.1395,259.4257,257.6839,255.525,2,0,,
2019-04-29,255.875,256.325,253.4,253.75,FC,2.925,259.8245,259.648,258.2905,256.1104,253.75,3,0,,
2019-04-30,254.1,254.175,251.675,251.825,FC,2.5,259.5108,259.0462,256.9974,254.3962,251.825,4,0,,
2019-05-01,252.425,253.075,251.45,251.9,FC,1.625,259.2123,258.4965,255.9779,253.3977,251.825,5,0,,
2019-05-02,251.975,252.725,250.475,250.575,FC,2.25,258.8736,257.8871,254.8974,252.2686,250.575,6,0,,
2019-05-03,250.55,251.35,248.925,249.05,FC,2.425,258.4884,257.2074,253.7279,250.9812,249.05,7,0,,
