symbol,date,close,entryprice,type,eo,state,decision_number
BP,2020-06-15,1.2574,,exitStopS3,exitS3,,2.7
BP,2020-06-30,1.2379,,Short2,enterS2,Short2,1.5
BP,2020-07-01,1.2458,,exitStopS2,exitS2,,1.9
BP,2020-09-14,1.2884,,Short2,enterS2,Short2,1.5
BP,2020-09-15,1.2926,,exitStopS2,exitS2,,1.9
BP,2020-09-24,1.2768,,Short2,enterS2,Short2,1.5
BP,2020-09-28,1.2861,,exitStopS2,exitS2,,1.9
BP,2021-03-16,1.3906,,Long2,enterL2,Long2,1.4
BP,2021-03-23,1.3768,,exitStopL2,exitL2,,1.7
BP,2021-03-25,1.3749,,Short2,enterS2,Short2,1.5
BP,2021-03-26,1.3795,,exitStopS2,exitS2,,1.9
BP,2021-04-08,1.3745,,Short2,enterS2,Short2,1.5
BP,2021-04-15,1.3797,,exitStopS2,exitS2,,1.9
BP,2021-06-21,1.3937,,Short2,enterS2,Short2,1.5
BP,2021-06-22,1.3948,,exitStopS2,exitS2,,1.9
BP,2021-06-23,1.397,,Short2,enterS2,Short2,1.5
BP,2021-10-13,1.3648,,exitStopS2,exitS2,,1.9
BP,2021-11-03,1.3684,,Short2,enterS2,Short2,1.5
BP,2021-12-16,1.3311,,exitStopS2,exitS2,,1.9
BP,2021-12-21,1.3262,,Short2,enterS2,Short2,1.5
BP,2021-12-22,1.3357,,exitStopS2,exitS2,,1.9
BP,2022-01-28,1.3381,,Short2,enterS2,Short2,1.5
BP,2022-01-31,1.3455,,exitStopS2,exitS2,,1.9
BR5,2017-04-10,0.27777,,Short2,enterS2,Short2,1.5
BR5,2017-04-17,0.28207,,exitStopS2,exitS2,,1.9
BR5,2017-04-27,0.27527,,Short2,enterS2,Short2,1.5
BR5,2017-05-12,0.27962,,exitStopS2,exitS2,,1.9
BR5,2017-05-19,0.26672,,Short2,enterS2,Short2,1.5
BR5,2017-05-19,0.26672,,Long3,enterL3,Long3,2.2
BR5,2017-05-22,0.26427,,exitL3,exitL3,,2.1
BR5,2017-05-31,0.26912,,exitStopS2,exitS2,,1.9
BR5,2017-06-06,0.26721,,Short2,enterS2,Short2,1.5
BR5,2017-06-06,0.26721,,Long3,enterL3,Long3,2.2
BR5,2017-06-07,0.26716,,exitL3,exitL3,,2.1
BR5,2017-06-08,0.26816,,exitStopS2,exitS2,,1.9
BR5,2017-06-13,0.26476,,Short2,enterS2,Short2,1.5
BR5,2017-06-14,0.26711,,exitStopS2,exitS2,,1.9
BR5,2017-06-21,0.26331,,Short2,enterS2,Short2,1.5
BR5,2017-06-26,0.26641,,exitStopS2,exitS2,,1.9
BR5,2017-07-03,0.26666,,Short2,enterS2,Short2,1.5
BR5,2017-07-07,0.26871,,exitStopS2,exitS2,,1.9
BR5,2017-07-21,0.28361,,Short3,enterS3,Short3,2.3
BR5,2017-07-24,0.28321,,exitStopS3,exitS3,,2.7
BR5,2017-09-28,0.28286,,Short2,enterS2,Short2,1.5
BR5,2017-09-29,0.28426,,exitStopS2,exitS2,,1.9
BR5,2017-10-10,0.28331,,Short2,enterS2,Short2,1.5
BR5,2017-10-13,0.28606,,exitStopS2,exitS2,,1.9
BR5,2017-10-25,0.27731,,Short2,enterS2,Short2,1.5
BR5,2017-11-22,0.27971,,exitStopS2,exitS2,,1.9
BR5,2017-12-15,0.27531,,Short2,enterS2,Short2,1.5
BR5,2017-12-18,0.27686,,exitStopS2,exitS2,,1.9
BR5,2017-12-27,0.27546,,Short2,enterS2,Short2,1.5
BR5,2018-01-02,0.28021,,exitStopS2,exitS2,,1.9
BR5,2018-02-12,0.27891,,Short2,enterS2,Short2,1.5
BR5,2018-02-14,0.28281,,exitStopS2,exitS2,,1.9
BR5,2018-03-16,0.28304,,Short2,enterS2,Short2,1.5
BR5,2018-05-10,0.26134,,Long3,enterL3,Long3,2.2
BR5,2018-05-11,0.25704,,exitL3,exitL3,,2.1
BR5,2018-05-16,0.25089,,exitS2,exitS2,,1.8
BR5,2018-05-21,0.25059,,Short2,enterS2,Short2,1.5
BR5,2018-05-22,0.25469,,exitStopS2,exitS2,,1.9
BR5,2018-06-04,0.24779,,Short2,enterS2,Short2,1.5
BR5,2018-06-08,0.24954,,exitStopS2,exitS2,,1.9
BR5,2018-06-08,0.24954,,Long3,enterL3,Long3,2.2
BR5,2018-06-15,0.24889,,Short2,enterS2,Short2,1.5
BR5,2018-06-15,0.24889,,exitL3,exitL3,,2.1
BR5,2018-07-06,0.23974,,exitStopS2,exitS2,,1.9
BR5,2018-07-06,0.23974,,Long3,enterL3,Long3,2.2
BR5,2018-07-13,0.23989,,Short2,enterS2,Short2,1.5
BR5,2018-07-13,0.23989,,exitL3,exitL3,,2.1
BR5,2018-07-17,0.24154,,exitStopS2,exitS2,,1.9
BR5,2018-07-26,0.24874,,Short3,enterS3,Short3,2.3
BR5,2018-07-27,0.25059,,exitStopS3,exitS3,,2.7
BR5,2018-07-30,0.24984,,Short3,enterS3,Short3,2.3
BR5,2018-08-03,0.25149,,exitStopS3,exitS3,,2.7
BR5,2018-08-14,0.24059,,Short2,enterS2,Short2,1.5
BR5,2018-10-02,0.23819,,exitStopS2,exitS2,,1.9
BR5,2018-10-29,0.25419,,Short3,enterS3,Short3,2.3
BR5,2018-10-30,0.25389,,exitStopS3,exitS3,,2.7
BR5,2018-11-27,0.23942,,Short2,enterS2,Short2,1.5
BR5,2018-11-28,0.24267,,exitStopS2,exitS2,,1.9
BR5,2018-11-30,0.24147,,Short2,enterS2,Short2,1.5
BR5,2018-12-03,0.24467,,exitStopS2,exitS2,,1.9
BR5,2018-12-07,0.24097,,Short2,enterS2,Short2,1.5
BR5,2018-12-12,0.24317,,exitStopS2,exitS2,,1.9
BR5,2018-12-14,0.23967,,Short2,enterS2,Short2,1.5
BR5,2018-12-17,0.24032,,exitStopS2,exitS2,,1.9
BR5,2018-12-19,0.24142,,Short2,enterS2,Short2,1.5
BR5,2018-12-20,0.24307,,exitStopS2,exitS2,,1.9
BR5,2018-12-26,0.23837,,Short2,enterS2,Short2,1.5
BR5,2018-12-27,0.24022,,exitStopS2,exitS2,,1.9
BR5,2018-12-28,0.24147,,Short2,enterS2,Short2,1.5
BR5,2019-01-02,0.24582,,exitStopS2,exitS2,,1.9
BR5,2019-03-08,0.24571,,Short2,enterS2,Short2,1.5
BR5,2019-03-11,0.24766,,exitStopS2,exitS2,,1.9
BR5,2019-03-12,0.24971,,Short2,enterS2,Short2,1.5
BR5,2019-03-18,0.25131,,exitStopS2,exitS2,,1.9
BR5,2019-03-25,0.24646,,Short2,enterS2,Short2,1.5
BR5,2019-03-28,0.24321,,Long3,enterL3,Long3,2.2
BR5,2019-03-29,0.24316,,exitL3,exitL3,,2.1
BR5,2019-04-08,0.24761,,exitStopS2,exitS2,,1.9
BR5,2019-04-15,0.24626,,Short2,enterS2,Short2,1.5
BR5,2019-05-08,0.24121,,exitStopS2,exitS2,,1.9
BR5,2019-05-21,0.23386,,Short2,enterS2,Short2,1.5
BR5,2019-05-24,0.23561,,exitStopS2,exitS2,,1.9
BR5,2019-08-06,0.24306,,Short2,enterS2,Short2,1.5
BR5,2019-08-08,0.24551,,exitStopS2,exitS2,,1.9
BR5,2019-08-08,0.24551,,Long3,enterL3,Long3,2.2
BR5,2019-08-12,0.24186,,exitStopL3,exitL3,,2.5
BR5,2019-08-13,0.24336,,Short2,enterS2,Short2,1.5
BR5,2019-09-11,0.23651,,exitStopS2,exitS2,,1.9
BR5,2019-09-24,0.23081,,Short2,enterS2,Short2,1.5
BR5,2019-10-03,0.23526,,exitStopS2,exitS2,,1.9
BR5,2019-10-11,0.23481,,Short2,enterS2,Short2,1.5
BR5,2019-10-22,0.23611,,exitStopS2,exitS2,,1.9
BR5,2019-11-11,0.23246,,Short2,enterS2,Short2,1.5
