2015-12-21, symbol: futures_FC_B, Trigger: enterL3, close: 252.55
2015-12-30, symbol: futures_FC_B, Trigger: enterL1, close: 261.775
2016-01-07, symbol: futures_FC_B, Trigger: enterS2, close: 261.1
2016-01-22, symbol: futures_FC_B, Trigger: enterL3, close: 258.05
2016-01-29, symbol: futures_FC_B, Trigger: enterS2, close: 257.4
2016-02-16, symbol: futures_FC_B, Trigger: enterL3, close: 254.65
2016-03-03, symbol: futures_FC_B, Trigger: enterS2, close: 256.875
2016-03-18, symbol: futures_FC_B, Trigger: enterS3, close: 261.15
2016-04-08, symbol: futures_FC_B, Trigger: enterL3, close: 253.3
2016-05-04, symbol: futures_FC_B, Trigger: enterL3, close: 243.2
2016-05-09, symbol: futures_FC_B, Trigger: enterL1, close: 250.425
2016-05-12, symbol: futures_FC_B, Trigger: enterS2, close: 246.825
2016-05-20, symbol: futures_FC_B, Trigger: enterS2, close: 247.5
2016-06-06, symbol: futures_FC_B, Trigger: enterS3, close: 245.1
2016-06-10, symbol: futures_FC_B, Trigger: enterS2, close: 245.125
2016-06-23, symbol: futures_FC_B, Trigger: enterL3, close: 241.95
2016-07-11, symbol: futures_FC_B, Trigger: enterS3, close: 239.025
2016-07-29, symbol: futures_FC_B, Trigger: enterS2, close: 239.625
2016-08-01, symbol: futures_FC_B, Trigger: enterL1, close: 244.125
2016-08-16, symbol: futures_FC_B, Trigger: enterS3, close: 247.625
2016-08-30, symbol: futures_FC_B, Trigger: enterL2, close: 244.375
2016-09-16, symbol: futures_FC_B, Trigger: enterL3, close: 237.8
2016-10-20, symbol: futures_FC_B, Trigger: enterL3, close: 226.825
2016-10-28, symbol: futures_FC_B, Trigger: enterS2, close: 228.575
2016-11-01, symbol: futures_FC_B, Trigger: enterL1, close: 233.0
2016-11-04, symbol: futures_FC_B, Trigger: enterS2, close: 230.425
2016-12-02, symbol: futures_FC_B, Trigger: enterS3, close: 237.175
2016-12-27, symbol: futures_FC_B, Trigger: enterS3, close: 241.475
2017-01-09, symbol: futures_FC_B, Trigger: enterL2, close: 241.025
2017-01-26, symbol: futures_FC_B, Trigger: enterS3, close: 242.625
2017-01-30, symbol: futures_FC_B, Trigger: enterS1, close: 239.425
2017-02-14, symbol: futures_FC_B, Trigger: enterL3, close: 239.525
2017-02-24, symbol: futures_FC_B, Trigger: enterS3, close: 237.225
2017-03-01, symbol: futures_FC_B, Trigger: enterS2, close: 239.575
2017-03-09, symbol: futures_FC_B, Trigger: enterL3, close: 240.45
2017-03-30, symbol: futures_FC_B, Trigger: enterS3, close: 248.15
2017-04-06, symbol: futures_FC_B, Trigger: enterL2, close: 248.9
2017-05-09, symbol: futures_FC_B, Trigger: enterS3, close: 267.0
2017-05-12, symbol: futures_FC_B, Trigger: enterL2, close: 266.675
2017-05-19, symbol: futures_FC_B, Trigger: enterL2, close: 265.3
2017-05-30, symbol: futures_FC_B, Trigger: enterL2, close: 264.775
2017-06-08, symbol: futures_FC_B, Trigger: enterS3, close: 268.8
2017-06-14, symbol: futures_FC_B, Trigger: enterS1, close: 260.975
2017-06-26, symbol: futures_FC_B, Trigger: enterL2, close: 264.3
2017-06-29, symbol: futures_FC_B, Trigger: enterL2, close: 262.025
2017-07-24, symbol: futures_FC_B, Trigger: enterS3, close: 263.3
2017-08-01, symbol: futures_FC_B, Trigger: enterL2, close: 264.025
2017-08-15, symbol: futures_FC_B, Trigger: enterL3, close: 260.7
2017-08-31, symbol: futures_FC_B, Trigger: enterS2, close: 257.7
2017-09-25, symbol: futures_FC_B, Trigger: enterS3, close: 266.575
2017-10-03, symbol: futures_FC_B, Trigger: enterL2, close: 267.75
2017-10-24, symbol: futures_FC_B, Trigger: enterL3, close: 270.475
2017-11-08, symbol: futures_FC_B, Trigger: enterS3, close: 272.375
2017-11-17, symbol: futures_FC_B, Trigger: enterS1, close: 267.2
2017-11-27, symbol: futures_FC_B, Trigger: enterL2, close: 269.925
2017-12-28, symbol: futures_FC_B, Trigger: enterL3, close: 259.3
2018-01-05, symbol: futures_FC_B, Trigger: enterS2, close: 259.05
2018-01-16, symbol: futures_FC_B, Trigger: enterL3, close: 261.0
2018-01-17, symbol: futures_FC_B, Trigger: enterL1, close: 263.05
2018-01-25, symbol: futures_FC_B, Trigger: enterS2, close: 261.0
2018-01-31, symbol: futures_FC_B, Trigger: enterS2, close: 262.125
2018-02-12, symbol: futures_FC_B, Trigger: enterL2, close: 264.75
2018-03-28, symbol: futures_FC_B, Trigger: enterL3, close: 252.175
2018-04-23, symbol: futures_FC_B, Trigger: enterL1, close: 256.4
2018-05-01, symbol: futures_FC_B, Trigger: enterS3, close: 252.75
2018-05-21, symbol: futures_FC_B, Trigger: enterL3, close: 249.775
2018-06-04, symbol: futures_FC_B, Trigger: enterS3, close: 254.125
2018-06-25, symbol: futures_FC_B, Trigger: enterS3, close: 255.05
2018-07-11, symbol: futures_FC_B, Trigger: enterS3, close: 258.675
2018-07-26, symbol: futures_FC_B, Trigger: enterS3, close: 260.7
2018-08-01, symbol: futures_FC_B, Trigger: enterL2, close: 261.375
2018-08-07, symbol: futures_FC_B, Trigger: enterS1, close: 258.15
2018-08-16, symbol: futures_FC_B, Trigger: enterL2, close: 259.15
2018-08-27, symbol: futures_FC_B, Trigger: enterL2, close: 259.0
2018-09-24, symbol: futures_FC_B, Trigger: enterS3, close: 265.0
2018-10-04, symbol: futures_FC_B, Trigger: enterS3, close: 266.825
2018-10-17, symbol: futures_FC_B, Trigger: enterS1, close: 263.025
2018-10-22, symbol: futures_FC_B, Trigger: enterL2, close: 265.675
